id,name,price,mrp,rating,ratingTotal,discount,seller
51,Women Mid Rise Shorts,532.0,1299.0,0.0,0,59,BRINNS
52,Puffed Sleeves Casual Shirt,899.0,1499.0,0.0,0,40,Wool Trees
53,Typography Printed T-shirt,559.0,699.0,0.0,0,20,Okane
54,Embroidered Georgette Top,847.0,2499.0,0.0,0,1652,WEAVETECH IMPEX
55,Lace Inserted Pure Cotton Top,1999.0,1999.0,0.0,0,0,Sztori
56,Shoulder Straps Fitted Top,493.0,1299.0,0.0,0,62,BRINNS
57,Shirt Collar Checked Dress,1649.0,1649.0,0.0,0,0,Styli
58,Cotton Knitted Twisted Dress,2249.0,2999.0,0.0,0,25,Urban Revivo
59,Modal Oversized T-shirt,749.0,1049.0,0.0,0,300,Kanvin
60,Flared Sleeve Maxi Dress,1449.0,1449.0,0.0,0,0,Styli
61,Women Straight Fit Jeans,2199.0,2199.0,0.0,0,0,ELLIS
62,V-Neck Shirt Style Top,797.0,1899.0,0.0,0,58,RAASSIO
63,Striped Halter Neck Top,899.0,2999.0,0.0,0,70,GUTI
64,Printed Cotton Co-Ords Set,1399.0,3499.0,0.0,0,60,TAG 7
65,Striped Pocket Detail T-shirt,799.0,799.0,0.0,0,0,Mast & Harbour
66,Women Mid Rise Knitted Tights,1329.0,1399.0,0.0,0,5,Sweet Dreams
67,Kimono Sleeves Kaftan Top,573.0,1739.0,0.0,0,67,DressBerry
68,Floral Print Wrap Crop Top,1999.0,1999.0,0.0,0,0,SHEETAL Associates
69,Printed A-Line Midi Dress,1399.0,1999.0,0.0,0,30,SASSAFRAS
70,Tropical Print Wrap Midi Dress,4199.0,5599.0,0.0,0,25,Urban Revivo
71,Wrap-Style T-shirt Midi Dress,2249.0,2999.0,0.0,0,25,Urban Revivo
72,Women Extended Sleeves T-shirt,799.0,799.0,0.0,0,0,Roadster
73,Women Mid Rise Cotton Leggings,494.0,549.0,0.0,0,10,LYRA
74,Women Pack Of 3 Sports Shorts,575.0,1799.0,0.0,0,68,Jinfo
75,Women Straight Fit High-Rise Jeans,2999.0,3999.0,0.0,0,25,Urban Revivo
76,Fitted Cinched Waist Top,1239.0,3099.0,0.0,0,60,NEUDIS
77,Women Pack Of 3 Sports Shorts,575.0,1799.0,0.0,0,68,Jinfo
78,Women Mid Rise Shorts,531.0,1399.0,0.0,0,62,BRINNS
79,Women Pack Of 3 Yoga Shorts,575.0,1799.0,0.0,0,68,Jinfo
80,Geometric Printed Top,759.0,1999.0,0.0,0,62,BRINNS
81,Printed Basic Jumpsuit,1739.0,4349.0,0.0,0,60,Juniper
82,Printed Crop Top,6999.0,6999.0,0.0,0,0,ADIDAS
83,Cotton Relaxed Fit T-shirt,499.0,499.0,0.0,0,0,Styli
84,Print Denim A-Line Mini Dress,2000.0,2000.0,0.0,0,0,SUMAVI-FASHION
85,Women Mid-Rise Plain Trousers,494.0,549.0,0.0,0,10,LYRA
86,Sleeveless Fit & Flare Dress,1735.0,2799.0,0.0,0,38,BoStreet
87,Women Maternity Track Pants,1999.0,1999.0,0.0,0,0,Frempy
88,Women High Rise Knitted Tights,1519.0,1599.0,0.0,0,5,Sweet Dreams
89,Women Typography Printed Applique T-shirt,599.0,999.0,0.0,0,40,T-SHIRT TRUCK
90,Puff Sleeves Cotton Top,1049.0,1049.0,0.0,0,0,Styli
91,Print Maxi Dress,3599.0,4799.0,0.0,0,25,Urban Revivo
92,Flared Sleeves Crop Top,1999.0,1999.0,0.0,0,0,SHEETAL Associates
93,Shoulder Straps Mini Dress,1599.0,2499.0,0.0,0,36,BoStreet
94,Halter Neck Top,899.0,2999.0,0.0,0,70,GUTI
95,Women Shrug,625.0,1199.0,0.0,0,574,Nimble
96,Sleeveless Fitted Crop Top,384.0,699.0,0.0,0,45,Disrupt
97,Floral Print Chiffon Fit & Flare Dress,599.0,1999.0,0.0,0,70,MODWEE
98,Top Solid,899.0,2999.0,0.0,0,70,GUTI
99,Women Stretchable Cotton Jeans,1199.0,2399.0,0.0,0,50,urSense
100,Women Skinny Fit Jeans,2999.0,2999.0,0.0,0,0,Vero Moda
101,Gold-Plated Jewellery Set,1488.0,4800.0,0.0,0,69,GRIIHAM
102,UV Protected Oval Sunglasses,4999.0,4999.0,0.0,0,0,RESIST EYEWEAR
103,Rhodium-Plated Jewellery Set,1484.0,5499.0,0.0,0,73,Aazeen
104,Gold-Plated Finger Ring,369.0,369.0,0.0,0,0,MYKI
105,Set of 6 Hair Accessory,599.0,599.0,0.0,0,0,Hair Flare
106,Wayfarer Sunglasses,1043.0,1490.0,0.0,0,30,MAGNEQ
107,Gold-Plated Jewellery Set,645.0,1699.0,0.0,0,1054,MANSIYAORANGE
108,Women Textured Casual Belt,391.0,1399.0,0.0,0,72,CRUSSET